id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeclean,brown,green,milky,actual_supplier,discount,price,price_per_carat,video,video_frames,image,pdf,mine_of_origin,canada_mark_eligble,supplier_name,location,is_returnable,supplier_id
19859,58363-GCC,2324624113,CUSHION MODIFIED,1,H,SI2,-,EX,F,STG,Blue,5.4,5.12,4.14,80.9,61,None,GIA,THK to ETK,,,,,Vaishali Gems,-67.50%,1432,1432.44,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/b0e0c39a-a538-4f1a-b56b-ab222dcd67f9.jpg,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2324624113.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19860,57854-GE,2327387890,ROUND,0.32,J,VS1,EX,VG,EX,FNT,,4.42,4.46,2.67,60.2,59,None,GIA,MED to STK,100%,,,,Vaishali Gems,-48.00%,296,925.75,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2327387890.pdf,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19861,200964-GB,2358009359,CUSHION MODIFIED,0.9,F,SI1,-,VG,GD,NON,,5.27,5.24,3.8,72.6,59,NON,GIA,THN to VTK,,,,,Vaishali Gems,-55.70%,1921,2134.16,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/52f0473c-c084-4353-9637-46e90e3106f0.jpg,,,,,HK,Y,0f73b5bb-6b58-4f06-964b-d20097ee9d3b
19862,AST-OM5,2344590473,ROUND,2.7,D,SI1,EX,EX,EX,VST,Blue,8.82,8.86,5.58,63.1,58,None,GIA,STK,100%,Not brown,Not green,,African star (hk) ltd,-42.00%,22857,8465.56,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2344590473.pdf,,,,HK,N,f6e0efcb-9b29-42a6-9721-b7322986b542
19863,195B-28-A,2346861251,ROUND,0.62,E,VVS2,EX,EX,EX,FNT,,5.43,5.46,3.39,62.3,55,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,-32.39%,1805,2910.6,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/2346861251.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
19864,FV06630201892,7348786820,ROUND,0.41,E,VS1,EX,EX,EX,NON,,4.73,4.76,2.98,62.7,56,None,GIA,MED to STK,100%,,,,China Star ,-33.42%,767,1870.83,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/7348786820.pdf,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19865,195B-86-A,6352069049,ROUND,0.6,I,VVS1,VG,EX,VG,STG,Blue,5.21,5.29,3.39,64.5,54,None,GIA,STK to THK,100%,,,,Paladiya Brothers & co,-38.03%,1145,1909.1,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6352069049.pdf,,,,HK,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
19866,LD19103312,1339892158,ROUND,0.23,D,SI1,EX,EX,EX,NON,,4.01,3.99,2.41,60.3,60,NON,GIA,MED to STK,100%,Not brown,Not green,Not milky,Laxmi,20.00%,295,1282.43,,,,https://www.laxmidiamond.com/certifiedstone/certificate/LD19103312.pdf,,,,IN,N,523f5320-903b-4939-8f99-c88e0d49c77b
19867,FU06629475608,6325443502,ROUND,0.5,J,SI1,EX,EX,EX,NON,,5.03,5.07,3.18,63,56,None,GIA,MED,,,,,China Star ,-42.64%,661,1321.92,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/6325443502.pdf,,,,unknown,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19868,NK04124875649,7348820518,ROUND,0.5,H,VVS2,VG,EX,VG,NON,,4.99,4.91,3.2,64.7,61,NON,GIA,MED to THK,100%,,,,China Star ,-42.86%,973,1945.62,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/5c7be231-02a7-4f23-8cc3-e7b00a068d49.jpg,TRUE,,,,HK,N,3a1357c1-60d9-4cdc-96d7-7a9bebec3568
19869,195B-83-A,1348971690,ROUND,0.49,K,VS1,EX,EX,EX,NON,,5.03,5.07,3.15,62.4,60,None,GIA,MED to STK,100%,,,,Paladiya Brothers & co,-26.06%,610,1244.27,,,,https://nivoda-images.s3.eu-west-2.amazonaws.com/pdf/1348971690.pdf,,,,IN,N,e6c24977-7efd-4b1c-95c4-1aca4bed604a
